Id,ItemId,Amount,InvoiceId
1,789,73,{1ebecf11-33ad-4ebb-b7e3-9f3ec1bb7b26}
2,234,1,{3e9f981d-c8fd-49e1-874b-4bd1820c9ab9}
3,929,50,{b3146b1e-1acc-4530-a6d2-a1d55e56ab25}
4,113,89,{2f61b0b4-dfd6-4ec8-bf69-7ba5d51272f4}
5,83,11,{95e53d98-82c2-414f-b44b-1f9ec4235c33}
6,862,25,{cb75b8ea-f819-4a0f-ad16-0a112f38637f}
7,982,18,{33e17549-b2be-4255-967f-7ec8701eda61}
8,428,40,{256d1dca-5e44-47b6-ba74-57f0769a327d}
9,778,38,{35b130db-0056-4b67-90fa-201ebd7a8f5a}
10,163,84,{47899631-43cd-472c-8366-7ae3a0e4d32d}
11,764,45,{ea0d7f51-ffc6-4c1c-b068-bf10dbc4893f}
12,741,64,{c0cdb218-fe23-48c8-ab93-7ed13214cad8}
13,630,48,{6d3b90a8-7e7d-4d05-b3a0-c81f341ff02d}
14,694,57,{6842a226-80ea-4d4b-95f6-7c6deb7759b9}
15,997,84,{5603bfdf-6754-4f1b-8c53-e2c8ee466617}
16,329,53,{ddc9ee64-5661-41f3-affa-70721ab2f4c8}
17,340,21,{cc9feb3c-e639-4f8f-acdf-9da56b8ea2bb}
18,260,93,{8c330f21-a931-49af-af61-33cbb7065404}
19,610,28,{226fbb17-ff01-4099-a1ef-2fdefc34183f}
20,454,37,{52bda23c-cb94-4d09-9937-381c9e856555}
21,865,93,{a8ff0967-76ea-4027-8fa5-2c880cfab463}
22,483,67,{8e12303c-5f86-46da-bc40-74da197c3fb5}
23,706,54,{2fa9d6ed-334d-4456-af60-446af9bf75e9}
24,958,52,{4e657e57-bec1-4e90-b247-82d510f4db62}
25,954,15,{5f9892ef-fab4-4843-940e-bc1cb73a0576}
26,954,38,{450aec0f-81c5-47f6-97e8-badb71c2d211}
27,161,82,{7204f4d8-e1aa-40d4-a284-a8895e23552e}
28,606,51,{75202041-1551-4087-b172-ddac7b6fb1b3}
29,974,60,{e9bf55ae-d721-4f87-a518-2a2d291b4d84}
30,353,84,{4bb0195c-acd3-4c37-913f-01cc60657be3}
31,411,44,{ac7b3b0e-82d9-468b-b6db-7f02b05b06ad}
32,704,30,{09c7b1f0-1adf-4d1a-9f70-07a5d00238c3}
33,852,38,{62c629f3-d246-48fc-9425-dbe4e86fc9a2}
34,543,38,{c3096c18-ca4d-4804-9322-0dd416449c98}
35,462,6,{fd00840b-ba43-45aa-9dfc-e705baa91a19}
36,627,58,{5d44236a-f966-4996-817a-cbf28e5d5f94}
37,175,75,{a87604c4-4715-4fa1-9174-47ad58d57ce9}
38,961,55,{176ae334-0b8e-4e97-b317-7dd7c822b02d}
39,275,24,{86536c1a-2493-481f-9bd1-0e39846473cd}
40,64,1,{f2740b60-1103-4bd8-8536-3a3c96b6e373}
41,100,93,{27beb555-c8a6-4aca-b01a-461b868d52e3}
42,639,24,{51305666-6ae7-46f5-a6da-abff754c0163}
43,78,16,{182ef092-2c8d-49a5-abfa-fb40d0c5677f}
44,271,46,{74e89595-fd74-4f7f-9c6a-98b04d5b1072}
45,157,62,{7d3fa4ae-8530-4e52-9780-8d0ec5f6d4a2}
46,655,86,{f63de051-9d28-4fe1-9b27-eaab34e9a674}
47,618,12,{bdbbf223-bb3c-4e67-9d4c-d1444dac631e}
48,655,87,{a7402a02-490e-4e95-a194-1e41c24f1912}
49,410,19,{da94c840-f092-48d4-a5cb-1bd070b577f0}
50,467,75,{7d3fa4ae-8530-4e52-9780-8d0ec5f6d4a2}
51,324,79,{71ddcc11-3140-4995-b88a-b9039b478e8a}
52,63,39,{8f8beef6-e594-42ae-adde-aba174b61c02}
53,689,34,{dc85447c-ae37-4311-b45e-0a02f33beae6}
54,933,98,{4e5b68be-c7a5-41b4-944b-879a5bdceed9}
55,995,39,{0ad83681-84c7-454a-b576-fc573569cd12}
56,73,28,{e47a96f3-844e-4d07-b55b-87850798c690}
57,234,10,{3daa4190-8847-47be-91d4-5b3c3841437b}
58,246,60,{5726a6d7-b12b-415e-ad0a-9a6555961bdc}
59,225,81,{d78d2a06-94a1-42a3-9f5a-7bebc7dd7ac8}
60,193,51,{f0df3c21-382e-4c77-ba84-f15e8bd13bf6}
61,234,70,{9efbfe9a-2bfe-4236-af7f-ea8eda4f8ad0}
62,862,67,{e9980066-1596-4eaa-874f-c698b34b3b8d}
63,758,91,{29e88a59-dbae-46ff-a590-c26452203079}
64,881,61,{0340dca3-15a9-4518-855a-0da21ad8dd4b}
65,743,98,{a9773478-0b73-4fb7-81f3-3736b7ec1040}
66,614,10,{3c0dfc3c-e02d-4790-ac3d-d2cc6f5d4539}
67,220,6,{d868a4b4-dffc-4045-8284-5f99f138b7d5}
68,990,37,{fd00840b-ba43-45aa-9dfc-e705baa91a19}
69,994,40,{fb513841-b68f-4a15-8ccb-84b0c1659713}
70,584,26,{4e657e57-bec1-4e90-b247-82d510f4db62}
71,768,32,{902f8a83-22eb-415a-9705-2aa4545a3bd1}
72,940,93,{9b88f0d4-4e93-46d4-8fcd-03aea0c7ba01}
73,191,56,{b641af3b-08ce-4d27-bb51-f162fc44fbfd}
74,246,53,{f5872419-9c23-4f83-857c-5a13031b8525}
75,316,42,{a793d13f-e271-4d69-b177-97ed53938ec2}
76,149,42,{a2cfe137-d908-4d6c-8b78-291dc669e35c}
77,813,71,{2b4e0ac1-e94f-4c05-afc6-d201cfcf0200}
78,145,35,{c311d1a3-7bd9-4cf6-b556-5ee34b7425bb}
79,133,75,{3c248bdd-06fe-4a80-bf47-b67dbf85d2ea}
80,916,46,{b958c32b-5e97-49e2-a1c9-b4d0442ff3c0}
81,197,88,{e785b7bc-25df-4a96-ae10-bca15edfa85f}
82,735,53,{5f9892ef-fab4-4843-940e-bc1cb73a0576}
83,374,59,{9273a98d-192f-4725-a08b-21bd84e9c55a}
84,367,2,{c33e5ba0-bc23-4853-b9a2-c6f7da9fb167}
85,456,28,{5726a6d7-b12b-415e-ad0a-9a6555961bdc}
86,690,8,{ff631b2b-dac8-498c-94bb-cbc409605bb6}
87,622,29,{c3f74243-9b62-43f1-ab99-1ad152cec58f}
88,699,34,{0b3a5ad2-776d-489f-b08c-e4943bbb5c6d}
89,317,81,{fe0e39a3-a239-469f-93a1-06ea03f2327c}
90,327,30,{25df314e-6483-46ff-b353-b7e09f6d9d3b}
91,88,16,{8a66acf7-a9b6-400e-9b7e-6e1f5754971c}
92,291,12,{2e2acb68-04d0-4bb8-bd8c-a9129d7cbf5c}
93,727,96,{26305893-e29e-499b-b7a0-f78abc4fcfed}
94,624,96,{bf53044b-80f9-434b-9cc2-369ac525ef3b}
95,34,29,{170ac495-eb69-46fe-a472-1619c62cff1a}
96,772,64,{939276fe-91f9-425a-a57d-4b2b9bc17a3c}
97,271,10,{0ad50811-7091-4f16-aee3-8593acde0fa9}
98,636,80,{0848950b-62b6-48e8-8b97-e747bc82cfa0}
99,91,87,{4e44c3d7-72c0-458f-812e-69220f9204fe}
100,186,84,{e785b7bc-25df-4a96-ae10-bca15edfa85f}
101,746,90,{1d49109c-bd8f-4b97-bacc-7f86753ff9ff}
102,597,8,{ce5b7e14-368a-4ac0-af71-1ddbbe6c8ef5}
103,373,69,{18d596e1-5bf0-4d8d-964f-527cb41d055f}
104,669,94,{dee57903-60a7-4bdc-9c00-a491b0f473fa}
105,203,38,{54908498-c6d8-44da-9e44-307a470e9e8c}
106,149,31,{226fbb17-ff01-4099-a1ef-2fdefc34183f}
107,916,3,{64d81491-2a9b-4c36-af1f-f2ab92b08fb6}
108,723,31,{0f6a8a65-e2a0-4869-a60e-d709a642d857}
109,661,85,{69c34dca-83c2-42bc-a003-4d1b2b2e936e}
110,589,63,{48bf5327-43a0-4f69-94d1-24eb80eacc81}
111,845,36,{38b4e27a-ebc0-46b3-8a4a-c4c8d6f957a0}
112,735,96,{ea0d7f51-ffc6-4c1c-b068-bf10dbc4893f}
113,144,49,{3ed607fb-559c-4c5b-a3ba-fe1a18d62b2a}
114,595,89,{ea9c3d78-bc72-49c7-8439-06b6c02c158b}
115,199,2,{c2783b75-fe08-4748-8807-5def33ada845}
116,860,24,{d0a5cfd6-cfb1-4a19-b097-a21ad070fa31}
117,938,57,{0b7aed35-a84d-4b93-8ecc-dffd6d077e0c}
118,869,29,{25aeaf64-9422-480a-83b6-729e99d8d94c}
119,863,61,{c1b008f2-b7b9-4fe8-8d7f-18c5e2fa72d6}
120,461,39,{59233d3d-ef93-4b60-9a84-feea592c796f}
121,595,97,{bc685d29-432c-457f-808a-5887240635fd}
122,485,26,{2570f73c-cdfb-42d8-a86b-16b880cbb347}
123,598,12,{3c0dfc3c-e02d-4790-ac3d-d2cc6f5d4539}
124,565,41,{97b1b80b-20ce-491e-bf43-256755e05add}
125,931,95,{77fc47fc-5233-48e1-8dd0-ba70d35383c8}
126,912,40,{3993dc8e-3cd1-41fe-8acb-dcddde0af3f1}
127,766,38,{649cf639-5339-4a0d-afa9-ed9aacbad6f4}
128,750,7,{ca50920a-cd5a-40e0-a8c9-af2f222266f2}
