CreationDate,DateSent,DatePayed,TotalPrice,PayedAmount,IsPayed,CustomerId
2010-07-15 05:19:01,2019-11-10 22:33:38,2019-08-20 06:12:39,2036.64,1352.73,1,f64a57e8-9d2e-4496-9033-cfa24108e1b7
2015-03-30 07:06:03,2019-08-11 15:31:46,2020-01-02 14:51:58,3347.02,0,1,2ec671b2-7dd1-48a5-9e72-4b0337ed8699
2015-08-28 11:54:05,2020-03-13 18:43:32,2019-07-10 15:18:19,2506.59,0,1,0ae386a0-53c3-42a6-9602-1ba61b213b9b
2018-08-06 19:48:19,2020-01-09 01:08:54,2019-06-20 01:21:36,2316.77,0,1,2dcc065a-2013-46ff-a21a-4d70f87bf697
2015-10-05 14:00:46,2019-12-30 15:11:46,2019-09-17 13:32:50,707.75,14.05,1,f851911d-c258-44d8-97c4-b876f238c7c4
2014-01-28 04:37:51,2019-06-18 07:12:25,2019-09-30 02:08:53,3899.61,281.23,1,a0dbe104-d657-41ff-94c8-a98d2ff4129d
2017-10-20 04:55:37,2019-07-15 15:48:15,2019-10-17 14:01:20,1002.11,263.48,1,458cf7ff-2430-40a6-8fb7-f07884355632
2018-01-26 09:56:22,2019-03-15 18:30:06,2019-07-18 07:49:16,1196.09,0,1,efb3bf1f-5a38-4f15-912c-2948cd25e7d1
2014-10-15 13:17:27,2019-08-22 21:10:55,2019-07-23 02:19:06,4872.88,1169.27,1,b1f83bf7-9765-4b95-b6ba-c8824db5a1be
2013-10-12 09:21:28,2019-12-19 11:09:22,2019-12-19 04:53:16,1793.98,1384.43,1,19a0c27a-6399-4439-8dac-02bc455ad2de
2018-05-27 13:18:40,2019-04-03 18:50:36,2019-09-04 10:47:45,4054.93,3521.88,1,006d04b6-b226-405f-b3d0-f5ae95ec40c5
2013-12-24 00:27:52,2019-09-16 08:55:14,2019-09-09 15:43:23,3860.74,0,1,6a629831-3a3e-4ad7-b9da-e946c6d0ffb2
2015-03-15 04:14:26,2019-12-18 20:19:53,2020-03-10 22:58:27,3262.32,2137.88,1,82687ab3-216e-4615-9bb0-b86711e434de
2010-07-27 05:52:39,2019-04-22 18:24:36,2020-02-05 18:04:51,1685.49,0,1,0f0b0f08-a0a9-40c7-aeed-39461bf0a302
2013-06-03 23:04:23,2019-04-12 05:24:01,2019-11-08 19:50:07,4787.95,4421.51,1,e5ee23a1-6855-4427-9a7a-ab2a7b3724b1
2017-10-26 18:32:57,2020-02-15 06:05:08,2019-10-01 08:17:39,1064.64,860.7,1,f7f2d50f-bd39-4d48-abc4-5d0bdd32cb7e
2014-03-03 00:10:02,2019-12-13 11:51:50,2019-04-29 16:16:46,2252.35,0,1,aa6daa86-f10e-45e6-8bb4-542deb82ccb7
2013-07-10 23:37:06,2019-05-12 08:07:13,2019-07-15 21:59:29,883.51,727.55,1,c204f65b-fde9-444a-9d35-0bceb064e274
